0.6935,0.5684,0.5443,0.5251,BASELINE-D-J-1,MSINT-D-J-4B,MSINT-D-J-5B,MSINT-D-J-R2,,,
0.5696,0.5819,0.4699,0.421,0.6935,0.5684,0.5443,0.5251,0.6093,0.000969552,
0.6455,0.5741,0.5211,0.4874,0.5696,0.5819,0.4699,0.421,0.4953,0.24532209,
0.8593,0.762,0.77,0.7084,0.6455,0.5741,0.5211,0.4874,0.56645,0.320865603,
0.8249,0.676,0.6991,0.7131,0.8593,0.762,0.77,0.7084,0.78385,0.614420823,
0.6159,0.4561,0.4571,0.5648,0.8249,0.676,0.6991,0.7131,0.769,0.591361,
0.7754,0.6355,0.616,0.5771,0.6159,0.4561,0.4571,0.5648,0.59035,0.164235685,
0.7947,0.712,0.6887,0.6601,0.7754,0.6355,0.616,0.5771,0.67625,0.457314063,
0.7239,0.6098,0.5608,0.4819,0.7947,0.712,0.6887,0.6601,0.7274,0.52911076,
0.832,0.7393,0.6833,0.6506,0.7239,0.6098,0.5608,0.4819,0.6029,0.36348841,
0.499,0.531,0.4539,0.4036,0.832,0.7393,0.6833,0.6506,0.7413,0.54952569,
0.7523,0.6756,0.5788,0.5351,0.499,0.531,0.4539,0.4036,0.4513,0.20367169,
0.7315,0.7063,0.571,0.5051,0.7523,0.6756,0.5788,0.5351,0.6437,0.41434969,
0.6949,0.6656,0.6649,0.5959,0.7315,0.7063,0.571,0.5051,0.6183,0.38229489,
0.7338,0.5766,0.528,0.5268,0.6949,0.6656,0.6649,0.5959,0.6454,0.41654116,
0.611,0.6933,0.5112,0.5088,0.7338,0.5766,0.528,0.5268,0.6303,0.39727809,
0.6986,0.7002,0.6067,0.5691,0.611,0.6933,0.5112,0.5088,0.5599,0.31348801,
0.5466,0.5458,0.5233,0.3652,0.6986,0.7002,0.6067,0.5691,0.63385,0.401765823,
0.5828,0.7322,0.5526,0.5178,0.5466,0.5458,0.5233,0.3652,0.4559,0.20784481,
0.5939,0.492,0.4821,0.4911,0.5828,0.7322,0.5526,0.5178,0.5503,0.30283009,
0.7255,0.7094,0.5596,0.5551,0.5939,0.492,0.4821,0.4911,0.5425,0.29430625,
0.5101,0.5485,0.4466,0.4324,0.7255,0.7094,0.5596,0.5551,0.6403,0.40998409,
0.889,0.7469,0.7249,0.7603,0.5101,0.5485,0.4466,0.4324,0.47125,0.222076563,
0.4324,0.51,0.3139,0.3057,0.889,0.7469,0.7249,0.7603,0.82465,0.680047623,
0.7416,0.745,0.6852,0.5369,0.4324,0.51,0.3139,0.3057,0.36905,0.136197903,
0.7776,0.7493,0.685,0.6319,0.7416,0.745,0.6852,0.5369,0.63925,0.408640563,
0.8377,0.8107,0.7671,0.6486,0.7776,0.7493,0.685,0.6319,0.70475,0.496672563,
0.6105,0.6388,0.6872,0.4769,0.8377,0.8107,0.7671,0.6486,0.74315,0.552271923,
0.7802,0.7278,0.7087,0.6722,0.6105,0.6388,0.6872,0.4769,0.5437,0.29560969,
0.7253,0.6782,0.6688,0.5771,0.7802,0.7278,0.7087,0.6722,0.7262,0.52736644,
0.8461,0.6955,0.624,0.6647,0.7253,0.6782,0.6688,0.5771,0.6512,0.42406144,
0.7606,0.5932,0.5475,0.6251,0.8461,0.6955,0.624,0.6647,0.7554,0.57062916,
0.677,0.6834,0.55,0.524,0.7606,0.5932,0.5475,0.6251,0.69285,0.480041123,
0.7148,0.6016,0.5189,0.495,0.677,0.6834,0.55,0.524,0.6005,0.36060025,
0.3797,0.333,0.3152,0.2556,0.7148,0.6016,0.5189,0.495,0.6049,0.36590401,
0.8982,0.8409,0.8176,0.7627,0.3797,0.333,0.3152,0.2556,0.31765,0.100901523,
0.7823,0.687,0.5873,0.5536,0.8982,0.8409,0.8176,0.7627,0.83045,0.689647203,
0.7061,0.6777,0.6225,0.5786,0.7823,0.687,0.5873,0.5536,0.66795,0.446157203,
0.7327,0.7104,0.6191,0.6266,0.7061,0.6777,0.6225,0.5786,0.64235,0.412613523,
0.3868,0.5644,0.388,0.2322,0.7327,0.7104,0.6191,0.6266,0.67965,0.461924123,
0.6378,0.6784,0.6308,0.4301,0.3868,0.5644,0.388,0.2322,0.3095,0.09579025,
0.847,0.7376,0.7748,0.6906,0.6378,0.6784,0.6308,0.4301,0.53395,0.285102603,
0.5485,0.5571,0.4881,0.2537,0.847,0.7376,0.7748,0.6906,0.7688,0.59105344,
0.6723,0.6018,0.539,0.5977,0.5485,0.5571,0.4881,0.2537,0.4011,0.16088121,
0.8796,0.7938,0.8028,0.8108,0.6723,0.6018,0.539,0.5977,0.635,0.403225,
0.739,0.5988,0.568,0.6712,0.8796,0.7938,0.8028,0.8108,0.8452,0.71436304,
0.7227,0.7869,0.7015,0.7726,0.739,0.5988,0.568,0.6712,0.7051,0.49716601,
0.7486,0.6544,0.6485,0.643,0.7227,0.7869,0.7015,0.7726,0.74765,0.558980523,
0.6107,0.6429,0.5852,0.5078,0.7486,0.6544,0.6485,0.643,0.6958,0.48413764,
0.9442,0.8905,0.8491,0.8135,0.6107,0.6429,0.5852,0.5078,0.55925,0.312760563,
0.8312,0.7777,0.7341,0.7426,0.9442,0.8905,0.8491,0.8135,0.87885,0.772377323,
0.7297,0.6653,0.6782,0.6271,0.8312,0.7777,0.7341,0.7426,0.7869,0.61921161,
0.8643,0.9133,0.8265,0.84,0.7297,0.6653,0.6782,0.6271,0.6784,0.46022656,
0.7907,0.6237,0.6244,0.6474,0.8643,0.9133,0.8265,0.84,0.85215,0.726159623,
0.701,0.6932,0.6751,0.6007,0.7907,0.6237,0.6244,0.6474,0.71905,0.517032903,
0.8239,0.8045,0.7643,0.6461,0.701,0.6932,0.6751,0.6007,0.65085,0.423605723,
0.7311,0.7621,0.5965,0.5954,0.8239,0.8045,0.7643,0.6461,0.735,0.540225,
0.8358,0.7085,0.7027,0.6705,0.7311,0.7621,0.5965,0.5954,0.66325,0.439900563,
0.8153,0.6889,0.7035,0.5612,0.8358,0.7085,0.7027,0.6705,0.75315,0.567234923,
0.8032,0.709,0.7257,0.7806,0.8153,0.6889,0.7035,0.5612,0.68825,0.473688063,
0.8705,0.71,0.6724,0.687,0.8032,0.709,0.7257,0.7806,0.7919,0.62710561,
0.6842,0.5604,0.448,0.4344,0.8705,0.71,0.6724,0.687,0.77875,0.606451563,
0.6944,0.5148,0.6494,0.6508,0.6842,0.5604,0.448,0.4344,0.5593,0.31281649,
0.3694,0.0719,0.0782,0,0.6944,0.5148,0.6494,0.6508,0.6726,0.45239076,
0.87,0.8243,0.7649,0.7874,0.3694,0.0719,0.0782,0,0.1847,0.03411409,
0.7461,0.6101,0.5557,0.5187,0.87,0.8243,0.7649,0.7874,0.8287,0.68674369,
0.5604,0.4926,0.4926,0.4817,0.7461,0.6101,0.5557,0.5187,0.6324,0.39992976,
0.897,0.814,0.7752,0.7951,0.5604,0.4926,0.4926,0.4817,0.52105,0.271493103,
0.5518,0.472,0.4313,0.3982,0.897,0.814,0.7752,0.7951,0.84605,0.715800603,
0.7345,0.7124,0.7255,0.6252,0.5518,0.472,0.4313,0.3982,0.475,0.225625,
0.8283,0.7575,0.7458,0.7092,0.7345,0.7124,0.7255,0.6252,0.67985,0.462196023,
0.6023,0.5515,0.4773,0.5046,0.8283,0.7575,0.7458,0.7092,0.76875,0.590976563,
0.7311,0.7216,0.7354,0.7383,0.6023,0.5515,0.4773,0.5046,0.55345,0.306306903,
0.9047,0.829,0.7738,0.6333,0.7311,0.7216,0.7354,0.7383,0.7347,0.53978409,
0.3218,0.2483,0.2882,0.3142,0.9047,0.829,0.7738,0.6333,0.769,0.591361,
0.5705,0.674,0.4958,0.4833,0.3218,0.2483,0.2882,0.3142,0.318,0.101124,
0.7185,0.7385,0.6352,0.4906,0.5705,0.674,0.4958,0.4833,0.5269,0.27762361,
0.8316,1,0.8316,0.7977,0.7185,0.7385,0.6352,0.4906,0.60455,0.365480703,
0.796,0.8228,0.7595,0.713,0.8316,1,0.8316,0.7977,0.81465,0.663654623,
0.8578,0.7771,0.7656,0.7172,0.796,0.8228,0.7595,0.713,0.7545,0.56927025,
0.4066,0.5464,0.2901,0.3871,0.8578,0.7771,0.7656,0.7172,0.7875,0.62015625,
0.5656,0.5747,0.4985,0.3816,0.4066,0.5464,0.2901,0.3871,0.39685,0.157489923,
0.319,0.355,0.3175,0.1191,0.5656,0.5747,0.4985,0.3816,0.4736,0.22429696,
0.4981,0.6881,0.3393,0.532,0.319,0.355,0.3175,0.1191,0.21905,0.047982903,
0.2832,0.3228,0.2908,0.3128,0.4981,0.6881,0.3393,0.532,0.51505,0.265276503,
0.7593,0.6439,0.6499,0.7452,0.2832,0.3228,0.2908,0.3128,0.298,0.088804,
0.7973,0.6773,0.7228,0.7153,0.7593,0.6439,0.6499,0.7452,0.75225,0.565880063,
0.8808,0.7642,0.7262,0.7584,0.7973,0.6773,0.7228,0.7153,0.7563,0.57198969,
0.7623,0.752,0.7346,0.7387,0.8808,0.7642,0.7262,0.7584,0.8196,0.67174416,
0.8252,0.7438,0.6661,0.5978,0.7623,0.752,0.7346,0.7387,0.7505,0.56325025,
0.7568,0.6925,0.6423,0.5381,0.8252,0.7438,0.6661,0.5978,0.7115,0.50623225,
0.833,0.8199,0.7733,0.6263,0.7568,0.6925,0.6423,0.5381,0.64745,0.419191503,
0.9257,0.839,0.8515,0.8024,0.833,0.8199,0.7733,0.6263,0.72965,0.532389123,
0.8992,0.7904,0.7983,0.6895,0.9257,0.839,0.8515,0.8024,0.86405,0.746582403,
0.875,0.7965,0.7345,0.6595,0.8992,0.7904,0.7983,0.6895,0.79435,0.630991923,
,,,,0.875,0.7965,0.7345,0.6595,,40.26795998,(SA)
,,,合計,67.4979,63.0831,58.0758,54.7095,,,
,,,平均,0.710504211,0.664032632,0.611324211,0.575889474,0.640437632,(標本の全平均),
,,,分散,0.022549773,0.019914279,0.022509187,0.025170753,,,
,,,,,,,,,,
,,,MOE,0.153137029,,,,,,
信頼区間,,,,,,,,,,
0.557367181,0.510895602,0.458187181,0.422752444,0.004909325,0.000556724,0.000847591,0.004166465,0.995610021,(Sa),
0.86364124,0.817169661,0.76446124,0.729026503,,,,,,,
,,,,0.002815615,0.00518942,0.009242444,0.013302769,,,
,,,,0.32444416,0.33860761,0.22080601,0.177241,,,
,,,,0.41667025,0.32959081,0.27154521,0.23755876,,,
,,,,0.73839649,0.580644,0.5929,0.50183056,,,
,,,,0.68046001,0.456976,0.48874081,0.50851161,,,
,,,,0.1441797,0.291071063,0.289993043,0.185597274,,,
,,,,0.60124516,0.40386025,0.379456,0.33304441,,,
,,,,0.63154809,0.506944,0.47430769,0.43573201,,,
,,,,0.52403121,0.37185604,0.31449664,0.23222761,,,
,,,,0.692224,0.54656449,0.46689889,0.42328036,,,
,,,,0.249001,0.281961,0.20602521,0.16289296,,,
,,,,0.56595529,0.45643536,0.33500944,0.28633201,,,
,,,,0.53509225,0.49885969,0.326041,0.25512601,,,
,,,,0.48288601,0.44302336,0.44209201,0.35509681,,,
,,,,0.53846244,0.33246756,0.278784,0.27751824,,,
,,,,0.373321,0.48066489,0.26132544,0.25887744,,,
,,,,0.48804196,0.49028004,0.36808489,0.32387481,,,
,,,,0.29877156,0.29789764,0.27384289,0.13337104,,,
,,,,0.33965584,0.53611684,0.30536676,0.26811684,,,
,,,,0.35271721,0.242064,0.23242041,0.24117921,,,
,,,,0.52635025,0.50324836,0.31315216,0.30813601,,,
,,,,0.26020201,0.30085225,0.19945156,0.18696976,,,
,,,,0.790321,0.55785961,0.52548001,0.57805609,,,
,,,,0.18696976,0.2601,0.09853321,0.09345249,,,
,,,,0.54997056,0.555025,0.46949904,0.28826161,,,
,,,,0.60466176,0.56145049,0.469225,0.39929761,,,
,,,,0.70174129,0.65723449,0.58844241,0.42068196,,,
,,,,0.37271025,0.40806544,0.47224384,0.22743361,,,
,,,,0.60871204,0.52969284,0.50225569,0.45185284,,,
,,,,0.52606009,0.45995524,0.44729344,0.33304441,,,
,,,,0.71588521,0.48372025,0.389376,0.44182609,,,
,,,,0.57851236,0.35188624,0.29975625,0.39075001,,,
,,,,0.458329,0.46703556,0.3025,0.274576,,,
,,,,0.51093904,0.36192256,0.26925721,0.245025,,,
,,,,0.14417209,0.110889,0.09935104,0.06533136,,,
,,,,0.80676324,0.70711281,0.66846976,0.58171129,,,
,,,,0.61199329,0.471969,0.34492129,0.30647296,,,
,,,,0.49857721,0.45927729,0.38750625,0.33477796,,,
,,,,0.53684929,0.50466816,0.38328481,0.39262756,,,
,,,,0.14961424,0.31854736,0.150544,0.05391684,,,
,,,,0.40678884,0.46022656,0.39790864,0.18498601,,,
,,,,0.717409,0.54405376,0.60031504,0.47692836,,,
,,,,0.30085225,0.31036041,0.23824161,0.06436369,,,
,,,,0.45198729,0.36216324,0.290521,0.35724529,,,
,,,,0.77369616,0.63011844,0.64448784,0.65739664,,,
,,,,0.546121,0.35856144,0.322624,0.45050944,,,
,,,,0.52229529,0.61921161,0.49210225,0.59691076,,,
,,,,0.56040196,0.42823936,0.42055225,0.413449,,,
,,,,0.37295449,0.41332041,0.34245904,0.25786084,,,
,,,,0.89151364,0.79299025,0.72097081,0.66178225,,,
,,,,0.69089344,0.60481729,0.53890281,0.55145476,,,
,,,,0.53246209,0.44262409,0.45995524,0.39325441,,,
,,,,0.74701449,0.83411689,0.68310225,0.7056,,,
,,,,0.62520649,0.38900169,0.38987536,0.41912676,,,
,,,,0.491401,0.48052624,0.45576001,0.36084049,,,
,,,,0.67881121,0.64722025,0.58415449,0.41744521,,,
,,,,0.53450721,0.58079641,0.35581225,0.35450116,,,
,,,,0.69856164,0.50197225,0.49378729,0.44957025,,,
,,,,0.66471409,0.47458321,0.49491225,0.31494544,,,
,,,,0.64513024,0.502681,0.52664049,0.60933636,,,
,,,,0.75777025,0.5041,0.45212176,0.471969,,,
,,,,0.46812964,0.31404816,0.200704,0.18870336,,,
,,,,0.48219136,0.26501904,0.42172036,0.42354064,,,
,,,,0.13645636,0.00516961,0.00611524,0,,,
,,,,0.7569,0.67947049,0.58507201,0.61999876,,,
,,,,0.55666521,0.37222201,0.30880249,0.26904969,,,
,,,,0.31404816,0.24265476,0.24265476,0.23203489,,,
,,,,0.804609,0.662596,0.60093504,0.63218401,,,
,,,,0.30448324,0.222784,0.18601969,0.15856324,,,
,,,,0.53949025,0.50751376,0.52635025,0.39087504,,,
,,,,0.68608089,0.57380625,0.55621764,0.50296464,,,
,,,,0.36276529,0.30415225,0.22781529,0.25462116,,,
,,,,0.53450721,0.52070656,0.54081316,0.54508689,,,
,,,,0.81848209,0.687241,0.59876644,0.40106889,,,
,,,,0.10355524,0.06165289,0.08305924,0.09872164,,,
,,,,0.32547025,0.454276,0.24581764,0.23357889,,,
,,,,0.51624225,0.54538225,0.40347904,0.24068836,,,
,,,,0.69155856,1,0.69155856,0.63632529,,,
,,,,0.633616,0.67699984,0.57684025,0.508369,,,
,,,,0.73582084,0.60388441,0.58614336,0.51437584,,,
,,,,0.16532356,0.29855296,0.08415801,0.14984641,,,
,,,,0.31990336,0.33028009,0.24850225,0.14561856,,,
,,,,0.101761,0.126025,0.10080625,0.01418481,,,
,,,,0.24810361,0.47348161,0.11512449,0.283024,,,
,,,,0.08020224,0.10419984,0.08456464,0.09784384,,,
,,,,0.57653649,0.41460721,0.42237001,0.55532304,,,
,,,,0.63568729,0.45873529,0.52243984,0.51165409,,,
,,,,0.77580864,0.58400164,0.52736644,0.57517056,,,
,,,,0.58110129,0.565504,0.53963716,0.54567769,,,
,,,,0.68095504,0.55323844,0.44368921,0.35736484,,,
,,,,0.57274624,0.47955625,0.41254929,0.28955161,,,
,,,,0.693889,0.67223601,0.59799289,0.39225169,,,
,,,,0.85692049,0.703921,0.72505225,0.64384576,,,
,,,,0.80856064,0.62473216,0.63728289,0.47541025,,,
,,,,0.765625,0.63441225,0.53949025,0.43494025,,,
,,,合計,49.36394102,43.52633384,37.41303877,33.47684694,163.7801606,(SE),